audio_id,file_name,category,resolved_path,duration,rms_mean,rms_std,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std
audio_0350,audio_0350.mp3,ambient,..\..\data\raw\audio\audio_0350.mp3,29.653061224489797,0.019471745938062668,0.002452201209962368,0.03339263008607199,0.012449733417272364,957.6452248281419,251.85106587730118,1604.1307716819867,263.9484907156814,1536.1362511003522,803.2410667107753
audio_0351,audio_0351.mp3,ambient,..\..\data\raw\audio\audio_0351.mp3,15.362585034013605,0.03115132264792919,0.013522764667868614,0.15266828738670696,0.08854856226981671,2572.3213231155405,714.3426360078872,2299.8128399790394,350.8845931757837,4806.783421450151,1076.7099261011476
audio_0352,audio_0352.mp3,ambient,..\..\data\raw\audio\audio_0352.mp3,14.485351473922902,0.006728305481374264,0.0014216522686183453,0.43497956104767627,0.11472906499684532,6424.131762721206,244.80818150751588,2800.68071461892,253.46311896135973,9480.820875901441,219.93976544986143
audio_0353,audio_0353.mp3,ambient,..\..\data\raw\audio\audio_0353.mp3,22.47002267573696,0.01424130704253912,0.00275855022482574,0.08420026794938017,0.0676236802348692,2199.61891319586,724.0962612544706,2575.5026563607207,246.48947738731815,5295.8777561660645,930.4674050825123
audio_0354,audio_0354.mp3,ambient,..\..\data\raw\audio\audio_0354.mp3,29.51015873015873,0.00800043623894453,0.001607644953764975,0.0540908825481904,0.015530637798850137,1640.1412374568845,237.93624277910223,2429.8098224118603,160.99476325098448,3825.70983262441,987.6579537839627
audio_0355,audio_0355.mp3,ambient,..\..\data\raw\audio\audio_0355.mp3,14.755102040816327,0.008444491773843765,0.001396000268869102,0.06693291814072327,0.012622880482774454,1865.8409877396525,226.33499771970241,2558.2262913615673,159.63260272020534,4781.810026348762,744.617733055372
audio_0356,audio_0356.mp3,ambient,..\..\data\raw\audio\audio_0356.mp3,29.491882086167802,0.015733029693365097,0.004927865229547024,0.15000799075531077,0.09039531474083304,2865.953682575931,798.2555164020114,2551.2686635531995,259.92088443178676,5573.948408917683,832.7419551447638
audio_0357,audio_0357.mp3,ambient,..\..\data\raw\audio\audio_0357.mp3,26.530113378684806,0.031597696244716644,0.014844343066215515,0.20254401793525809,0.08155695338210216,2921.457908137423,623.594949455585,2296.4769490277854,311.8469014192421,5126.852200725886,1101.109632736794
audio_0358,audio_0358.mp3,ambient,..\..\data\raw\audio\audio_0358.mp3,7.986122448979592,0.016102246940135956,0.013230602256953716,0.11432168650072674,0.06937287818591943,2193.033185432429,553.7344537990506,2331.4887618348525,279.19841535668513,4218.4734255768535,726.0824098915707
audio_0359,audio_0359.mp3,ambient,..\..\data\raw\audio\audio_0359.mp3,30.0,0.036815594881772995,0.005634957458823919,0.09916153190305728,0.03937001346902741,1896.2157289824559,259.34836188837716,2210.892496222533,117.98857502249793,4044.817208210381,461.6605148729509
