id,source,freesound_id,name,username,license,duration,tags,description,audio_url,local_path,audio_id,file_name,file_path,category,query,source_api,source_url,audio_download_url,created,resolved_path,exists,duration_numeric,duration_status
,,,Ambience_Forest.wav,ConnorM94,http://creativecommons.org/licenses/by/3.0/,9.79311,"Ambience,Birds,Forest",,,,audio_0360,audio_0360.mp3,..\..\data\raw\audio\audio_0360.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/ConnorM94/sounds/386869/,https://cdn.freesound.org/previews/386/386869_7239271-hq.mp3,2017-04-01T21:03:12Z,..\..\data\raw\audio\audio_0360.mp3,True,9.79311,known
,,,park forest farmland 12.23 PM 220503_0341,klankbeeld,https://creativecommons.org/licenses/by/4.0/,26.2313,"Netherlands,ambiance,ambience,ambient,atmosphere,atmospheric,background-sound,birds,field-recording,fields,forest,general-noise,nature,park,pasture,pond,soundscape,white-noise",,,,audio_0361,audio_0361.mp3,..\..\data\raw\audio\audio_0361.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/698356/,https://cdn.freesound.org/previews/698/698356_1648170-hq.mp3,2023-08-04T05:34:13Z,..\..\data\raw\audio\audio_0361.mp3,True,26.2313,known
,,,fields 1231 PM 220503_0341.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,21.8203,"Netherlands,ambiance,ambience,ambient,atmosphere,atmospheric,background-sound,birds,farmland,field,field-recording,fields,forest,general-noise,grazing,nature,park,pasture,soundscape,white-noise",,,,audio_0362,audio_0362.mp3,..\..\data\raw\audio\audio_0362.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/634226/,https://cdn.freesound.org/previews/634/634226_1648170-hq.mp3,2022-05-16T06:17:06Z,..\..\data\raw\audio\audio_0362.mp3,True,21.8203,known
,,,forest farmland 008 220503_0341.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,14.6589,"Netherlands,ambiance,ambience,ambient,atmosphere,atmospheric,background-sound,birds,farmland,field,field-recording,fields,forest,general-noise,grazing,nature,park,pasture,soundscape,white-noise",,,,audio_0363,audio_0363.mp3,..\..\data\raw\audio\audio_0363.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/632754/,https://cdn.freesound.org/previews/632/632754_1648170-hq.mp3,2022-05-09T17:15:58Z,..\..\data\raw\audio\audio_0363.mp3,True,14.6589,known
,,,forest farmland 001 220503_0341.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,14.8545,"Netherlands,ambiance,ambience,ambient,atmosphere,atmospheric,background-sound,birds,farmland,field,field-recording,fields,forest,general-noise,grazing,nature,park,pasture,soundscape,white-noise",,,,audio_0364,audio_0364.mp3,..\..\data\raw\audio\audio_0364.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/632346/,https://cdn.freesound.org/previews/632/632346_1648170-hq.mp3,2022-05-05T18:34:44Z,..\..\data\raw\audio\audio_0364.mp3,True,14.8545,known
,,,forest farmland 004 220503_0341.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,9.41446,"Netherlands,ambiance,ambience,ambient,atmosphere,atmospheric,background-sound,birds,farmland,field,field-recording,fields,forest,general-noise,nature,park,pasture,soundscape,white-noise",,,,audio_0365,audio_0365.mp3,..\..\data\raw\audio\audio_0365.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/649959/,https://cdn.freesound.org/previews/649/649959_1648170-hq.mp3,2022-09-15T05:14:19Z,..\..\data\raw\audio\audio_0365.mp3,True,9.41446,known
,,,forest farmland EQ 003 220503_0341.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,19.9219,"EQ,Netherlands,ambiance,ambience,ambient,atmosphere,atmospheric,background-sound,birds,de-noised,farmland,field,field-recording,fields,forest,general-noise,grazing,nature,park,pasture,soundscape,white-noise",,,,audio_0366,audio_0366.mp3,..\..\data\raw\audio\audio_0366.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/642843/,https://cdn.freesound.org/previews/642/642843_1648170-hq.mp3,2022-07-21T16:51:31Z,..\..\data\raw\audio\audio_0366.mp3,True,19.9219,known
,,,forest farmland 003 220503_0341.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,19.9219,"Netherlands,ambiance,ambience,ambient,atmosphere,atmospheric,background-sound,birds,farmland,field,field-recording,fields,forest,general-noise,grazing,nature,park,pasture,soundscape,white-noise",,,,audio_0367,audio_0367.mp3,..\..\data\raw\audio\audio_0367.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/642763/,https://cdn.freesound.org/previews/642/642763_1648170-hq.mp3,2022-07-21T07:17:12Z,..\..\data\raw\audio\audio_0367.mp3,True,19.9219,known
,,,Artificial Forest Impulse Response 2,Fission9,http://creativecommons.org/publicdomain/zero/1.0/,7.0,"Ambience,Artificial,IR,Outdoor,Reverb,ambiance,ambient,distant,expanse,expansive,forest,outside,woods",,,,audio_0368,audio_0368.mp3,..\..\data\raw\audio\audio_0368.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/Fission9/sounds/457277/,https://cdn.freesound.org/previews/457/457277_9395330-hq.mp3,2019-01-25T02:24:24Z,..\..\data\raw\audio\audio_0368.mp3,True,7.0,known
,,,park forest Loonse en Drunense Duinen Netherlands 1110 am 150410_0602,klankbeeld,https://creativecommons.org/licenses/by/4.0/,30.0,"April,Holland,Loonse-en-Drunense-Duinen,Netherlands,Van-Gogh-Nationaal-Park,ambience,atmospheric,background-sound,bird,bird-song,daytime,field-recording,forest,general-noise,park,pine-forest,pine-woods,soundscape,spring,white-noise,woods",,,,audio_0369,audio_0369.mp3,..\..\data\raw\audio\audio_0369.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/810253/,https://cdn.freesound.org/previews/810/810253_1648170-hq.mp3,2025-06-01T15:50:03Z,..\..\data\raw\audio\audio_0369.mp3,True,30.0,known
,,,forest summer NL 154PM 210712_030.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,22.0387,"afternoon,ambiance,ambience,ambient,atmospheric,background-sound,birds,calm,field-recording,forest,general-noise,lazy,nature,nature-ambience,park,peaceful,quiet,soundscape,summer,white-noise,woods",,,,audio_0370,audio_0370.mp3,..\..\data\raw\audio\audio_0370.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/624811/,https://cdn.freesound.org/previews/624/624811_1648170-hq.mp3,2022-03-20T11:02:54Z,..\..\data\raw\audio\audio_0370.mp3,True,22.0387,known
,,,Winter forest NL 1113AM 220124_0326.mp3,klankbeeld,https://creativecommons.org/licenses/by/4.0/,28.7331,"Holland,January,Loonse-en-Drunense-Duinen,Netherlands,Western-Europe,ambience,ambient,atmospheric,background-sound,birds,birdsong,calm,field-recording,forest,general-noise,nature-ambience,van-gogh-nationaal-park,white-noise,white-nose,winter,woods",,,,audio_0371,audio_0371.mp3,..\..\data\raw\audio\audio_0371.mp3,ambient,forest ambience,Freesound,https://freesound.org/people/klankbeeld/sounds/616231/,https://cdn.freesound.org/previews/616/616231_1648170-hq.mp3,2022-01-28T16:44:41Z,..\..\data\raw\audio\audio_0371.mp3,True,28.7331,known
